datetime,temp_c,wind_ms,wind_degree,pressure_mb,precip_mm,humidity,shortwave_radiation_ghi,diffuse_radiation_dhi,direct_normal_irradiance_dni
13/08/2024 00:00,17.7,2.08,274,1015.0,0.0,86,0.0,0.0,0.0
13/08/2024 01:00,17.4,1.99,274,1015.0,0.0,85,0.0,0.0,0.0
13/08/2024 02:00,17.5,1.65,274,1015.0,0.0,82,0.0,0.0,0.0
13/08/2024 03:00,17.2,2.32,281,1014.0,0.0,78,0.0,0.0,0.0
13/08/2024 04:00,17.1,2.2,272,1014.0,0.0,77,0.0,0.0,0.0
13/08/2024 05:00,16.7,2.2,281,1014.0,0.0,78,0.0,0.0,0.0
13/08/2024 06:00,16.6,1.99,267,1014.0,0.0,79,3.0,3.0,0.0
13/08/2024 07:00,16.8,2.08,293,1015.0,0.0,78,46.0,44.0,12.664952
13/08/2024 08:00,17.5,2.41,282,1016.0,0.02,74,89.0,87.0,5.944737
13/08/2024 09:00,19.0,2.63,273,1015.0,0.01,64,160.0,149.0,21.441252
13/08/2024 10:00,20.6,2.41,280,1015.0,0.01,53,399.0,280.0,178.70753
13/08/2024 11:00,23.8,2.32,271,1014.0,0.0,37,572.0,246.0,415.505
13/08/2024 12:00,25.5,3.73,282,1014.0,0.02,32,677.0,268.0,475.02368
13/08/2024 13:00,25.7,4.74,282,1014.0,0.49,33,811.0,204.0,682.0727
13/08/2024 14:00,26.6,5.71,282,1013.0,0.0,31,832.0,169.0,762.6169
13/08/2024 15:00,26.1,7.36,281,1013.0,0.0,33,543.0,198.0,430.864
13/08/2024 16:00,25.1,6.39,282,1013.0,0.0,36,511.0,165.0,502.4501
13/08/2024 17:00,24.0,5.16,280,1013.0,0.0,43,392.0,150.0,447.54535
13/08/2024 18:00,22.6,4.52,278,1013.0,0.0,52,220.0,86.0,365.0329
13/08/2024 19:00,20.6,4.19,275,1014.0,0.0,63,102.0,46.0,311.9114
13/08/2024 20:00,18.8,3.3,276,1015.0,0.0,73,7.0,5.0,25.500048
13/08/2024 21:00,18.2,2.63,277,1016.0,0.0,76,0.0,0.0,0.0
13/08/2024 22:00,17.8,2.2,283,1016.0,0.0,79,0.0,0.0,0.0
13/08/2024 23:00,17.3,1.99,285,1016.0,0.0,81,0.0,0.0,0.0
14/08/2024 00:00,16.9,1.53,288,1016.0,0.0,80,0.0,0.0,0.0
14/08/2024 01:00,16.6,1.53,299,1016.0,0.0,80,0.0,0.0,0.0
14/08/2024 02:00,16.2,1.44,303,1015.0,0.0,81,0.0,0.0,0.0
14/08/2024 03:00,15.8,1.31,301,1015.0,0.0,82,0.0,0.0,0.0
14/08/2024 04:00,15.6,1.22,317,1016.0,0.0,82,0.0,0.0,0.0
14/08/2024 05:00,15.4,1.22,335,1016.0,0.0,82,0.0,0.0,0.0
14/08/2024 06:00,15.5,1.65,9,1017.0,0.0,80,4.0,3.0,16.260517
14/08/2024 07:00,17.0,1.86,20,1017.0,0.0,73,104.0,46.0,370.49457
14/08/2024 08:00,19.1,1.86,30,1017.0,0.0,62,294.0,64.0,689.06433
14/08/2024 09:00,21.3,1.86,47,1017.0,0.0,53,492.0,74.0,818.6911
14/08/2024 10:00,23.4,1.99,65,1017.0,0.0,48,666.0,81.0,881.61804
14/08/2024 11:00,25.8,1.44,82,1016.0,0.0,40,804.0,83.0,921.6543
14/08/2024 12:00,27.9,1.44,52,1016.0,0.0,32,873.0,138.0,855.97235
14/08/2024 13:00,29.8,0.89,16,1015.0,0.0,25,884.0,195.0,776.3541
14/08/2024 14:00,31.1,1.22,332,1015.0,0.0,20,887.0,113.0,893.0051
14/08/2024 15:00,31.8,1.65,334,1014.0,0.0,16,808.0,94.0,894.921
14/08/2024 16:00,31.8,2.41,338,1013.0,0.0,14,680.0,76.0,881.1587
14/08/2024 17:00,31.2,3.73,344,1014.0,0.0,14,510.0,71.0,817.111
14/08/2024 18:00,29.5,3.85,344,1014.0,0.0,17,320.0,57.0,723.8867
14/08/2024 19:00,26.6,2.75,331,1015.0,0.0,23,128.0,39.0,507.17822
14/08/2024 20:00,24.2,1.99,326,1016.0,0.0,29,9.0,5.0,52.405167
14/08/2024 21:00,22.9,1.65,325,1017.0,0.0,32,0.0,0.0,0.0
14/08/2024 22:00,22.1,1.44,336,1017.0,0.0,34,0.0,0.0,0.0
14/08/2024 23:00,21.6,2.32,21,1017.0,0.0,34,0.0,0.0,0.0
