datetime,temp_c,wind_ms,wind_degree,pressure_mb,precip_mm,humidity,shortwave_radiation_ghi,diffuse_radiation_dhi,direct_normal_irradiance_dni
06/08/2024 00:00,19.1,1.65,285,1014.0,0.0,68,0.0,0.0,0.0
06/08/2024 01:00,18.7,1.44,289,1014.0,0.0,69,0.0,0.0,0.0
06/08/2024 02:00,18.3,1.44,290,1014.0,0.0,71,0.0,0.0,0.0
06/08/2024 03:00,18.0,1.1,292,1013.0,0.0,71,0.0,0.0,0.0
06/08/2024 04:00,17.9,1.1,296,1013.0,0.0,72,0.0,0.0,0.0
06/08/2024 05:00,17.5,1.1,298,1014.0,0.0,72,0.0,0.0,0.0
06/08/2024 06:00,17.6,0.98,298,1014.0,0.0,71,8.0,6.0,27.279264
06/08/2024 07:00,19.4,0.89,289,1014.0,0.0,64,125.0,48.0,458.75778
06/08/2024 08:00,22.0,1.22,282,1014.0,0.0,54,316.0,64.0,711.15826
06/08/2024 09:00,24.5,1.31,285,1014.0,0.0,45,511.0,76.0,821.506
06/08/2024 10:00,26.6,1.65,284,1013.0,0.0,38,681.0,87.0,871.75226
06/08/2024 11:00,28.7,1.86,276,1013.0,0.0,31,820.0,83.0,921.7109
06/08/2024 12:00,29.9,2.63,271,1012.0,0.0,28,906.0,85.0,937.12195
06/08/2024 13:00,30.7,3.42,275,1011.0,0.0,28,937.0,86.0,939.69
06/08/2024 14:00,31.2,4.95,278,1011.0,0.0,28,912.0,83.0,935.4899
06/08/2024 15:00,31.2,5.38,282,1011.0,0.0,30,813.0,127.0,837.5615
06/08/2024 16:00,30.8,6.26,279,1011.0,0.0,32,640.0,196.0,626.4009
06/08/2024 17:00,29.3,5.29,277,1011.0,0.0,40,451.0,218.0,413.8785
06/08/2024 18:00,27.6,4.28,276,1011.0,0.0,47,250.0,165.0,217.14651
06/08/2024 19:00,25.5,3.51,276,1011.0,0.0,53,100.0,85.0,72.847
06/08/2024 20:00,23.1,2.75,281,1012.0,0.0,61,12.0,12.0,0.0
06/08/2024 21:00,22.0,2.32,283,1013.0,0.0,66,0.0,0.0,0.0
06/08/2024 22:00,21.1,1.99,283,1013.0,0.0,69,0.0,0.0,0.0
06/08/2024 23:00,20.5,1.65,286,1013.0,0.0,72,0.0,0.0,0.0
07/08/2024 00:00,20.3,1.22,295,1013.0,0.0,73,0.0,0.0,0.0
07/08/2024 01:00,20.0,1.22,310,1013.0,0.0,75,0.0,0.0,0.0
07/08/2024 02:00,19.8,0.98,35,1013.0,0.0,75,0.0,0.0,0.0
07/08/2024 03:00,19.8,1.22,54,1013.0,0.0,75,0.0,0.0,0.0
07/08/2024 04:00,19.6,1.65,64,1013.0,0.0,76,0.0,0.0,0.0
07/08/2024 05:00,19.3,1.77,68,1013.0,0.0,77,0.0,0.0,0.0
07/08/2024 06:00,19.3,1.77,69,1013.0,0.0,77,8.0,5.0,41.70922
07/08/2024 07:00,21.1,1.86,74,1013.0,0.0,69,120.0,40.0,482.16782
07/08/2024 08:00,23.1,2.2,84,1013.0,0.0,57,305.0,62.0,690.6039
07/08/2024 09:00,24.9,2.41,77,1013.0,0.0,48,498.0,73.0,806.07623
07/08/2024 10:00,26.9,2.41,86,1013.0,0.0,42,670.0,83.0,864.1585
07/08/2024 11:00,28.9,2.08,96,1013.0,0.0,36,805.0,89.0,897.72015
07/08/2024 12:00,31.1,1.31,112,1012.0,0.0,31,893.0,89.0,919.8291
07/08/2024 13:00,32.7,0.89,133,1012.0,0.0,27,925.0,91.0,923.03265
07/08/2024 14:00,33.5,0.43,167,1011.0,0.0,24,901.0,91.0,916.3349
07/08/2024 15:00,34.1,0.67,266,1010.0,0.0,22,805.0,116.0,843.70667
07/08/2024 16:00,34.0,2.75,285,1010.0,0.0,23,625.0,152.0,669.82697
07/08/2024 17:00,32.9,4.61,285,1010.0,0.0,28,459.0,131.0,585.6869
07/08/2024 18:00,30.9,4.52,282,1010.0,0.0,35,328.0,84.0,628.5357
07/08/2024 19:00,28.4,3.64,277,1011.0,0.0,41,143.0,47.0,474.34064
07/08/2024 20:00,25.8,2.63,284,1012.0,0.0,48,16.0,9.0,77.56282
07/08/2024 21:00,24.7,2.08,292,1013.0,0.0,51,0.0,0.0,0.0
07/08/2024 22:00,24.0,1.65,277,1013.0,0.0,53,0.0,0.0,0.0
07/08/2024 23:00,23.3,1.22,284,1013.0,0.0,54,0.0,0.0,0.0
08/08/2024 00:00,22.5,0.89,292,1013.0,0.0,56,0.0,0.0,0.0
08/08/2024 01:00,22.2,0.76,293,1013.0,0.0,56,0.0,0.0,0.0
08/08/2024 02:00,21.9,0.98,35,1013.0,0.0,57,0.0,0.0,0.0
08/08/2024 03:00,21.7,1.31,65,1013.0,0.0,58,0.0,0.0,0.0
08/08/2024 04:00,21.3,1.22,72,1013.0,0.0,59,0.0,0.0,0.0
